Model,Brand,Variant,Manufacturing_year,Driven_km,Fuel_type,Transmission,Selling_Price,location
['Eeco'],['Maruti'],5 Seater AC BSIV,2016,45347,Petrol,Manual,3.81,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2020,19627,Petrol,Manual,4.7,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2012,57341,Petrol,Manual,2.79,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2020,17116,Petrol,Manual,4.72,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC BSIV,2019,14161,Petrol,Manual,4.57,Ahmedabad
['S-Presso'],['Maruti'],VXI,2019,24230,Petrol,Manual,4.22,Ahmedabad
['Baleno'],['Maruti'],Delta,2017,34669,Petrol,Manual,5.36,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2017,88362,Petrol,Manual,3.97,Ahmedabad
['Swift'],['Maruti'],VDI,2018,31694,Diesel,Manual,5.85,Ahmedabad
['Ecosport'],['Ford'],1.5 TDCi Trend BSIV,2016,42029,Diesel,Manual,5.89,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2015,54419,Diesel,Manual,4.91,Ahmedabad
['Swift'],['Maruti'],VXI,2019,21060,Petrol,Manual,6,Ahmedabad
"['Wagon', 'R']",['Maruti'],VXI,2014,42381,Petrol,Manual,3.29,Ahmedabad
['Swift'],['Maruti'],ZDi,2013,72301,Diesel,Manual,3.99,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2015,48570,Diesel,Manual,4.86,Ahmedabad
['Swift'],['Maruti'],LDI BSIV,2014,100821,Diesel,Manual,3.04,Ahmedabad
['Xylo'],['Mahindra'],E8,2011,161779,Diesel,Manual,1.41,Ahmedabad
['Swift'],['Maruti'],VDI BSIV,2014,72558,Diesel,Manual,3.82,Ahmedabad
['Q3'],['Audi'],2.0 TDI,2014,118419,Diesel,Automatic,11,Ahmedabad
['Innova'],['Toyota'],2.5 GX (Diesel) 8 Seater,2012,147234,Diesel,Manual,5.67,Ahmedabad
['Vento'],['Volkswagen'],1.5 TDI Highline,2018,97922,Diesel,Manual,7.11,Ahmedabad
